Wall time,Step,Value
1481346012.046933,19335,0.2449093759059906
1481346027.097473,21729,0.25362759828567505
1481346187.685763,48136,0.31579411029815674
1481346202.674003,50547,0.30711233615875244
1481346318.329497,69216,0.37272337079048157
1481346323.396645,70100,0.3452968895435333
1481346358.498803,75516,0.3366091251373291
1481346619.50891,116757,0.3694550096988678
1481346760.045134,138791,0.5297001600265503
1481346779.984642,142024,0.39327362179756165
1481346985.829566,174041,0.4553300738334656
1481347096.355978,191421,0.4642626941204071
1481347231.836046,212888,0.4992643892765045
1481347618.202847,273312,0.5841013789176941
1481347743.734192,292742,0.6060521602630615
1481347924.424252,320829,0.5853158235549927
1481348190.361434,361987,0.6691510081291199
1481348481.349029,407304,0.6773243546485901
1481348666.75615,435931,0.6253842115402222
1481348676.791227,437518,0.7384074330329895
1481348732.162729,446059,0.7003390789031982
1481348857.472973,465475,0.5561560988426208
1481349058.453362,495949,0.645110011100769
1481349218.923703,520652,0.6576821208000183
1481349233.977192,523301,0.559914231300354
1481349259.046144,527073,0.5522138476371765
1481349419.673021,552015,0.701991081237793
1481349630.357147,584531,0.5854830741882324
1481349645.381459,586735,0.6045424938201904
1481349996.386256,641286,0.6479041576385498
1481350126.887952,661244,0.5898371338844299
1481350166.870836,667600,0.6841802000999451
1481350302.56604,688290,0.5647836923599243
1481350337.606089,693682,0.7684475183486938
1481350352.704744,695955,0.6365973949432373
1481350427.946375,707639,0.6407296061515808
1481350442.927615,709833,0.6327041983604431
1481350573.232642,729810,0.6812004446983337
1481350964.356462,789927,0.645517885684967
1481351129.809942,815284,0.8124253153800964
1481351199.944537,826388,0.8481101989746094
1481351280.201688,838407,0.8211881518363953
1481351375.477207,852969,0.9720105528831482
1481351591.441757,886021,0.7797757983207703
1481351977.556557,945028,0.8643731474876404
1481352002.783148,948809,0.970403254032135
1481352093.054455,962608,0.750114917755127
1481352163.397811,973428,0.8218019008636475
1481352238.691265,984911,0.9947270154953003
1481352323.876018,997652,0.9613367915153503
1481352464.57671,1019155,1.0769656896591187
1481352810.503119,1072038,1.2066795825958252
1481353016.028863,1103549,1.1767139434814453
1481353041.165084,1107359,1.0974944829940796
1481353918.809912,1241169,1.2689857482910156
1481354029.22641,1258033,1.138999342918396
1481354044.25176,1260322,1.2955127954483032
1481354139.684476,1274840,1.3228899240493774
1481354220.123491,1287367,1.3583834171295166
1481354435.492577,1320083,1.0574171543121338
1481354535.858623,1335478,0.8664418458938599
1481354646.162999,1352370,1.126092553138733
1481354721.320137,1363904,1.0141723155975342
1481354846.753739,1382796,0.9530404806137085
1481354861.738954,1385417,1.0178296566009521
1481354932.127605,1396163,0.8689729571342468
1481354992.321088,1405382,0.9871813654899597
1481355007.351533,1407492,1.0993077754974365
1481355268.059924,1447472,1.1980948448181152
1481355318.297134,1455217,1.047232985496521
1481355373.436182,1463755,1.162108063697815
1481355624.120316,1501786,1.1881910562515259
1481355654.255105,1506613,1.0124322175979614
1481355839.914409,1534739,1.1811140775680542
1481356065.607442,1569010,1.4458470344543457
1481356496.878085,1634277,1.3611527681350708
1481357400.195339,1769426,1.339664101600647
1481357505.260488,1785039,1.5043487548828125
1481357941.88296,1849945,1.2581580877304077
1481358032.102509,1863113,1.5417379140853882
1481358282.839847,1900186,1.4696376323699951
1481358483.576432,1929266,1.5212475061416626
1481358573.714366,1942659,1.7731208801269531
1481358673.935739,1957602,1.8067132234573364
1481358894.656424,1989143,1.5442748069763184
1481358904.649131,1991048,1.8293691873550415
1481358919.730512,1992963,1.4140597581863403
1481358944.783458,1996224,1.5545449256896973
1481359040.265411,2010194,1.455670952796936
1481359200.37836,2033659,1.7809739112854004
1481359396.130749,2061436,1.7776110172271729
1481359647.440202,2097274,1.850633144378662
1481359928.003064,2137472,1.8726527690887451
1481360143.653329,2168453,1.7803293466567993
1481360279.234852,2187430,2.153775930404663
1481360334.314428,2195208,2.102468490600586
1481360559.887011,2227475,2.028123378753662
1481360815.744012,2263105,2.008219003677368
1481361116.41934,2305420,2.1113522052764893
1481361216.867954,2319880,2.1250386238098145
1481361462.807846,2354016,2.04414701461792
1481361623.463784,2376671,1.9960001707077026
1481361819.131025,2403953,2.1373255252838135
1481362331.186725,2474776,2.119664430618286
1481362341.126675,2476297,2.183694839477539
1481362461.435937,2492962,2.1557114124298096
1481362481.517919,2496091,2.0258657932281494
1481362551.687578,2505631,2.204157590866089
1481362556.668904,2506256,2.204157590866089
1481362616.767682,2514576,1.9731138944625854
1481362782.285542,2537877,1.8725944757461548
1481363123.328173,2584621,2.015166759490967
1481363258.545471,2603857,1.8915209770202637
1481363424.131454,2626165,1.887266993522644
1481363820.667605,2681248,1.949738621711731
1481364021.277007,2708416,1.9734196662902832
1481364061.390919,2714346,2.057136058807373
1481364286.969669,2744790,1.6690856218338013
1481364663.102028,2796649,1.939560055732727
1481364683.290954,2799392,1.8430076837539673
1481364688.314666,2799941,1.783904790878296
1481364728.551824,2805754,1.6373428106307983
1481364808.735794,2816464,1.8522812128067017
1481364813.99587,2817013,1.6959072351455688
1481365205.360649,2870308,2.0528550148010254
1481365245.688203,2875950,1.9102110862731934
1481365280.668782,2881213,1.9592465162277222
1481365305.82088,2884258,1.8296849727630615
1481365822.453249,2954099,2.0442745685577393
1481365968.071208,2974373,1.8942911624908447
1481366073.491131,2987951,1.9569177627563477
1481366524.708811,3049381,1.6931493282318115
1481366785.4526,3084314,1.5202748775482178
1481367000.792081,3112799,1.6462756395339966
1481367035.872198,3118063,1.7666642665863037
1481367201.338433,3139974,1.7280120849609375
1481367351.573977,3160264,1.5680122375488281
1481367371.653861,3162732,1.7900385856628418
1481368128.88321,3263946,1.8104746341705322
1481368209.095344,3275039,1.9266892671585083
1481368324.427742,3290030,1.8644788265228271
1481368434.902524,3305015,2.0729849338531494
1481368590.301919,3325780,1.9319168329238892
1481368821.247483,3356033,1.9697701930999756
1481369106.576152,3394322,1.9833735227584839
1481369181.787601,3404134,1.9440556764602661
1481369317.21927,3421887,1.9702306985855103
1481369432.730597,3437297,1.788320541381836
1481369507.722947,3447020,1.761535882949829
1481369663.101514,3467347,1.7522462606430054
1481369818.912284,3488206,1.8313785791397095
1481369899.335168,3498563,1.7028067111968994
1481370351.079379,3558096,2.020779848098755
1481370406.200806,3565524,1.865172266960144
1481370697.241752,3604204,1.8834396600723267
1481371058.276372,3651403,1.9047775268554688
1481371138.500418,3662470,1.8125941753387451
1481371253.848829,3677386,1.9306130409240723
1481371263.85802,3678929,1.8254176378250122
1481371273.933155,3680122,1.9158198833465576
1481371319.248504,3685985,1.8117679357528687
1481371479.459986,3707183,1.5825973749160767
1481371549.702931,3716302,1.645261287689209
1481371584.871584,3721363,1.6430306434631348
1481371720.108543,3739064,1.7084072828292847
1481371740.061517,3741460,1.8108323812484741
1481371805.273058,3750062,1.7964566946029663
1481371996.116991,3775084,1.7666658163070679
1481372176.844433,3799215,1.8510046005249023
1481372723.296214,3871527,1.689583420753479
1481372933.891105,3899230,1.6655210256576538
1481372938.9223,3899744,1.5508246421813965
1481373114.292877,3922986,1.2423667907714844
1481373269.624247,3943248,1.4891090393066406
1481373410.095906,3961501,1.396738886833191
1481373470.040277,3969417,1.2904345989227295
1481373505.068104,3974510,1.389412522315979
1481373575.258679,3983559,1.3688656091690063
1481373610.201865,3988190,1.4300154447555542
1481373730.762044,4003782,1.3474311828613281
1481373801.004419,4013341,1.2197117805480957
1481373861.173308,4021198,1.3509615659713745
