Wall time,Step,Value
1481346012.046933,19335,1.0
1481346027.097473,21729,1.0
1481346187.685763,48136,2.0
1481346202.674003,50547,1.0
1481346318.329497,69216,4.0
1481346323.396645,70100,2.0
1481346358.498803,75516,2.0
1481346619.50891,116757,0.0
1481346760.045134,138791,0.0
1481346779.984642,142024,0.0
1481346985.829566,174041,1.0
1481347096.355978,191421,1.0
1481347231.836046,212888,1.0
1481347618.202847,273312,0.0
1481347743.734192,292742,0.0
1481347924.424252,320829,0.0
1481348190.361434,361987,3.0
1481348481.349029,407304,1.0
1481348666.75615,435931,1.0
1481348676.791227,437518,3.0
1481348732.162729,446059,2.0
1481348857.472973,465475,0.0
1481349058.453362,495949,1.0
1481349218.923703,520652,2.0
1481349233.977192,523301,0.0
1481349259.046144,527073,1.0
1481349419.673021,552015,2.0
1481349630.357147,584531,1.0
1481349645.381459,586735,2.0
1481349996.386256,641286,1.0
1481350126.887952,661244,1.0
1481350166.870836,667600,2.0
1481350302.56604,688290,1.0
1481350337.606089,693682,3.0
1481350352.704744,695955,0.0
1481350427.946375,707639,0.0
1481350442.927615,709833,0.0
1481350573.232642,729810,1.0
1481350964.356462,789927,0.0
1481351129.809942,815284,3.0
1481351199.944537,826388,2.0
1481351280.201688,838407,1.0
1481351375.477207,852969,5.0
1481351591.441757,886021,0.0
1481351977.556557,945028,1.0
1481352002.783148,948809,2.0
1481352093.054455,962608,0.0
1481352163.397811,973428,0.0
1481352238.691265,984911,5.0
1481352323.876018,997652,2.0
1481352464.57671,1019155,4.0
1481352810.503119,1072038,2.0
1481353016.028863,1103549,2.0
1481353041.165084,1107359,2.0
1481353918.809912,1241169,0.0
1481354029.22641,1258033,4.0
1481354044.25176,1260322,6.0
1481354139.684476,1274840,0.0
1481354220.123491,1287367,1.0
1481354435.492577,1320083,1.0
1481354535.858623,1335478,0.0
1481354646.162999,1352370,2.0
1481354721.320137,1363904,2.0
1481354846.753739,1382796,1.0
1481354861.738954,1385417,1.0
1481354932.127605,1396163,3.0
1481354992.321088,1405382,0.0
1481355007.351533,1407492,2.0
1481355268.059924,1447472,1.0
1481355318.297134,1455217,0.0
1481355373.436182,1463755,2.0
1481355624.120316,1501786,1.0
1481355654.255105,1506613,0.0
1481355839.914409,1534739,3.0
1481356065.607442,1569010,3.0
1481356496.878085,1634277,0.0
1481357400.195339,1769426,0.0
